Season,Team,GoalsScored,GoalsAgainst,Win,Loss,Tie,total_matches,GoalDiff,winPercentage,TeamPosition
2000,Bayern Munich,62.0,37.0,19,9,6,34,25.0,55.88,1
2000,Schalke 04,65.0,35.0,18,8,8,34,30.0,52.94,2
2000,Hertha,58.0,52.0,18,14,2,34,6.0,52.94,3
2000,Leverkusen,54.0,40.0,17,11,6,34,14.0,50.0,4
2000,Dortmund,62.0,42.0,16,8,10,34,20.0,47.06,5
2000,Freiburg,54.0,37.0,15,9,10,34,17.0,44.12,6
2000,Werder Bremen,53.0,48.0,15,11,8,34,5.0,44.12,7
2000,Kaiserslautern,49.0,54.0,15,14,5,34,-5.0,44.12,8
2000,Wolfsburg,60.0,45.0,12,11,11,34,15.0,35.29,9
2000,FC Koln,59.0,52.0,12,12,10,34,7.0,35.29,10
2000,Munich 1860,43.0,55.0,12,14,8,34,-12.0,35.29,11
2000,Hansa Rostock,34.0,47.0,12,15,7,34,-13.0,35.29,12
2000,Cottbus,38.0,52.0,12,19,3,34,-14.0,35.29,13
2000,Hamburg,58.0,58.0,10,13,11,34,0.0,29.41,14
2000,Ein Frankfurt,41.0,68.0,10,19,5,34,-27.0,29.41,15
2000,Stuttgart,42.0,49.0,9,14,11,34,-7.0,26.47,16
2000,Unterhaching,35.0,59.0,8,15,11,34,-24.0,23.53,17
2000,Bochum,30.0,67.0,7,21,6,34,-37.0,20.59,18
2001,Leverkusen,77.0,38.0,21,7,6,34,39.0,61.76,1
2001,Dortmund,62.0,33.0,21,6,7,34,29.0,61.76,2
2001,Bayern Munich,65.0,25.0,20,6,8,34,40.0,58.82,3
2001,Hertha,61.0,38.0,18,9,7,34,23.0,52.94,4
2001,Schalke 04,52.0,36.0,18,9,7,34,16.0,52.94,5
2001,Werder Bremen,54.0,43.0,17,12,5,34,11.0,50.0,6
2001,Kaiserslautern,62.0,53.0,17,12,5,34,9.0,50.0,7
2001,Munich 1860,59.0,59.0,15,14,5,34,0.0,44.12,8
2001,Wolfsburg,57.0,49.0,13,14,7,34,8.0,38.24,9
2001,Stuttgart,47.0,43.0,13,10,11,34,4.0,38.24,10
2001,Hamburg,51.0,57.0,10,14,10,34,-6.0,29.41,11
2001,Nurnberg,34.0,57.0,10,20,4,34,-23.0,29.41,12
2001,M'gladbach,41.0,53.0,9,13,12,34,-12.0,26.47,13
2001,Hansa Rostock,35.0,54.0,9,18,7,34,-19.0,26.47,14
2001,Cottbus,36.0,60.0,9,17,8,34,-24.0,26.47,15
